direction,year,week,count
incoming,2025,1,15
incoming,2025,2,58
incoming,2025,3,96
incoming,2025,4,58
incoming,2025,5,82
incoming,2025,6,84
incoming,2025,7,63
incoming,2025,8,91
incoming,2025,9,70
incoming,2025,10,72
incoming,2025,11,83
incoming,2025,12,61
incoming,2025,13,70
incoming,2025,14,69
incoming,2025,15,111
incoming,2025,16,59
incoming,2025,17,104
incoming,2025,18,97
incoming,2025,19,65
incoming,2025,20,119
incoming,2025,21,102
incoming,2025,22,105
incoming,2025,23,83
incoming,2025,24,97
incoming,2025,25,117
incoming,2025,26,80
incoming,2025,27,58
incoming,2025,28,94
incoming,2025,29,62
incoming,2025,30,77
incoming,2025,31,50
incoming,2025,32,64
incoming,2025,33,64
incoming,2025,34,83
incoming,2025,35,92
incoming,2025,36,162
incoming,2025,37,100
incoming,2025,38,98
incoming,2025,39,59
incoming,2025,40,135
incoming,2025,41,150
incoming,2025,42,106
incoming,2025,43,65
incoming,2025,44,75
incoming,2025,45,112
incoming,2025,46,178
incoming,2025,47,128
incoming,2025,48,151
incoming,2025,49,113
outgoing,2025,1,7
outgoing,2025,2,23
outgoing,2025,3,39
outgoing,2025,4,29
outgoing,2025,5,32
outgoing,2025,6,37
outgoing,2025,7,29
outgoing,2025,8,40
outgoing,2025,9,36
outgoing,2025,10,26
outgoing,2025,11,28
outgoing,2025,12,34
outgoing,2025,13,27
outgoing,2025,14,26
outgoing,2025,15,50
outgoing,2025,16,35
outgoing,2025,17,29
outgoing,2025,18,22
outgoing,2025,19,7
outgoing,2025,20,20
outgoing,2025,21,43
outgoing,2025,22,43
outgoing,2025,23,32
outgoing,2025,24,23
outgoing,2025,25,32
outgoing,2025,26,31
outgoing,2025,27,16
outgoing,2025,28,23
outgoing,2025,29,5
outgoing,2025,30,31
outgoing,2025,31,18
outgoing,2025,32,3
outgoing,2025,33,15
outgoing,2025,34,36
outgoing,2025,35,25
outgoing,2025,36,53
outgoing,2025,37,25
outgoing,2025,38,21
outgoing,2025,39,8
outgoing,2025,40,61
outgoing,2025,41,49
outgoing,2025,42,38
outgoing,2025,43,25
outgoing,2025,44,24
outgoing,2025,45,53
outgoing,2025,46,72
outgoing,2025,47,64
outgoing,2025,48,75
outgoing,2025,49,52
