direction,datetime,date,year,week,weekday,hour
incoming,2025-12-05 12:52:34.618,2025-12-05,2025,49,4,12
incoming,2025-12-05 12:28:33.732,2025-12-05,2025,49,4,12
incoming,2025-12-05 12:26:40.212,2025-12-05,2025,49,4,12
incoming,2025-12-05 12:25:08.225,2025-12-05,2025,49,4,12
incoming,2025-12-05 11:32:00.312,2025-12-05,2025,49,4,11
incoming,2025-12-05 10:42:05.159,2025-12-05,2025,49,4,10
incoming,2025-12-05 10:37:53.261,2025-12-05,2025,49,4,10
incoming,2025-12-05 10:00:27.085,2025-12-05,2025,49,4,10
incoming,2025-12-05 09:44:57.310,2025-12-05,2025,49,4,9
incoming,2025-12-05 08:52:23.813,2025-12-05,2025,49,4,8
incoming,2025-12-05 08:26:56.859,2025-12-05,2025,49,4,8
incoming,2025-12-05 06:17:59.517,2025-12-05,2025,49,4,6
incoming,2025-12-04 18:00:00.424,2025-12-04,2025,49,3,18
incoming,2025-12-04 17:11:46.926,2025-12-04,2025,49,3,17
incoming,2025-12-04 17:00:11.331,2025-12-04,2025,49,3,17
incoming,2025-12-04 16:59:54.605,2025-12-04,2025,49,3,16
incoming,2025-12-04 15:30:47.810,2025-12-04,2025,49,3,15
incoming,2025-12-04 15:04:36.205,2025-12-04,2025,49,3,15
incoming,2025-12-04 14:48:13.261,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:33:30.850,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:23:12.031,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:18:47.081,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:18:12.232,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:16:01.215,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:07:54.273,2025-12-04,2025,49,3,14
incoming,2025-12-04 14:02:22.674,2025-12-04,2025,49,3,14
incoming,2025-12-04 13:53:49.584,2025-12-04,2025,49,3,13
incoming,2025-12-04 13:49:22.476,2025-12-04,2025,49,3,13
incoming,2025-12-04 13:48:44.298,2025-12-04,2025,49,3,13
incoming,2025-12-04 13:17:18.891,2025-12-04,2025,49,3,13
incoming,2025-12-04 12:42:38.330,2025-12-04,2025,49,3,12
incoming,2025-12-04 12:08:10.830,2025-12-04,2025,49,3,12
incoming,2025-12-04 11:04:28.807,2025-12-04,2025,49,3,11
incoming,2025-12-04 10:54:31.366,2025-12-04,2025,49,3,10
incoming,2025-12-04 10:50:29.243,2025-12-04,2025,49,3,10
incoming,2025-12-04 10:40:35.651,2025-12-04,2025,49,3,10
incoming,2025-12-04 10:14:31.602,2025-12-04,2025,49,3,10
incoming,2025-12-04 10:06:26.698,2025-12-04,2025,49,3,10
incoming,2025-12-04 09:10:59.851,2025-12-04,2025,49,3,9
incoming,2025-12-04 09:01:15.332,2025-12-04,2025,49,3,9
incoming,2025-12-04 08:54:38.846,2025-12-04,2025,49,3,8
incoming,2025-12-04 08:42:26.987,2025-12-04,2025,49,3,8
incoming,2025-12-04 08:22:35.108,2025-12-04,2025,49,3,8
incoming,2025-12-04 07:47:28.752,2025-12-04,2025,49,3,7
incoming,2025-12-04 07:40:57.167,2025-12-04,2025,49,3,7
incoming,2025-12-03 23:04:20.066,2025-12-03,2025,49,2,23
incoming,2025-12-03 22:45:12.168,2025-12-03,2025,49,2,22
incoming,2025-12-03 22:11:47.592,2025-12-03,2025,49,2,22
incoming,2025-12-03 20:39:07.524,2025-12-03,2025,49,2,20
incoming,2025-12-03 20:25:18.665,2025-12-03,2025,49,2,20
incoming,2025-12-03 18:03:07.596,2025-12-03,2025,49,2,18
incoming,2025-12-03 17:49:17.469,2025-12-03,2025,49,2,17
incoming,2025-12-03 17:31:13.935,2025-12-03,2025,49,2,17
incoming,2025-12-03 17:15:29.728,2025-12-03,2025,49,2,17
incoming,2025-12-03 17:07:11.137,2025-12-03,2025,49,2,17
incoming,2025-12-03 14:58:27.347,2025-12-03,2025,49,2,14
incoming,2025-12-03 13:13:57.952,2025-12-03,2025,49,2,13
incoming,2025-12-03 12:12:19.710,2025-12-03,2025,49,2,12
incoming,2025-12-03 11:44:34.644,2025-12-03,2025,49,2,11
incoming,2025-12-03 11:00:47.554,2025-12-03,2025,49,2,11
incoming,2025-12-03 11:00:45.433,2025-12-03,2025,49,2,11
incoming,2025-12-03 10:48:17.552,2025-12-03,2025,49,2,10
incoming,2025-12-03 10:44:01.924,2025-12-03,2025,49,2,10
incoming,2025-12-03 10:37:29.850,2025-12-03,2025,49,2,10
incoming,2025-12-03 10:23:50.564,2025-12-03,2025,49,2,10
incoming,2025-12-03 09:44:35.995,2025-12-03,2025,49,2,9
incoming,2025-12-03 09:27:59.140,2025-12-03,2025,49,2,9
incoming,2025-12-03 09:05:58.857,2025-12-03,2025,49,2,9
incoming,2025-12-03 08:42:40.275,2025-12-03,2025,49,2,8
incoming,2025-12-03 08:36:53.039,2025-12-03,2025,49,2,8
incoming,2025-12-02 21:28:50.100,2025-12-02,2025,49,1,21
incoming,2025-12-02 19:04:10.451,2025-12-02,2025,49,1,19
incoming,2025-12-02 17:34:00.452,2025-12-02,2025,49,1,17
incoming,2025-12-02 13:58:12.950,2025-12-02,2025,49,1,13
incoming,2025-12-02 13:55:20.932,2025-12-02,2025,49,1,13
incoming,2025-12-02 13:43:18.161,2025-12-02,2025,49,1,13
incoming,2025-12-02 13:39:36.343,2025-12-02,2025,49,1,13
incoming,2025-12-02 13:18:54.509,2025-12-02,2025,49,1,13
incoming,2025-12-02 11:08:55.189,2025-12-02,2025,49,1,11
incoming,2025-12-02 10:52:27.507,2025-12-02,2025,49,1,10
incoming,2025-12-02 10:22:55.392,2025-12-02,2025,49,1,10
incoming,2025-12-02 10:22:13.158,2025-12-02,2025,49,1,10
incoming,2025-12-02 09:27:27.205,2025-12-02,2025,49,1,9
incoming,2025-12-02 07:16:56.667,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:13:07.997,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:12:19.721,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:08:47.251,2025-12-02,2025,49,1,7
incoming,2025-12-02 07:07:47.736,2025-12-02,2025,49,1,7
incoming,2025-12-02 06:44:47.809,2025-12-02,2025,49,1,6
incoming,2025-12-02 06:31:01.044,2025-12-02,2025,49,1,6
incoming,2025-12-02 06:24:41.502,2025-12-02,2025,49,1,6
incoming,2025-12-02 03:30:15.402,2025-12-02,2025,49,1,3
incoming,2025-12-02 02:30:12.460,2025-12-02,2025,49,1,2
incoming,2025-12-02 00:49:42.710,2025-12-02,2025,49,1,0
incoming,2025-12-01 20:41:08.935,2025-12-01,2025,49,0,20
incoming,2025-12-01 18:04:40.583,2025-12-01,2025,49,0,18
incoming,2025-12-01 16:56:39.843,2025-12-01,2025,49,0,16
